Time_ns,QueueLength,Event
42498,0,Recv
42664,108992,Dequ
42665,0,Recv
42831,107944,Dequ
42832,0,Recv
42998,106896,Dequ
42999,0,Recv
43165,105848,Dequ
43166,0,Recv
43332,104800,Dequ
43333,0,Recv
43499,103752,Dequ
43500,0,Recv
43666,102704,Dequ
43667,0,Recv
43833,101656,Dequ
43834,0,Recv
44000,100608,Dequ
44001,0,Recv
44167,99560,Dequ
44168,0,Recv
44334,98512,Dequ
44335,0,Recv
44501,97464,Dequ
44502,0,Recv
44668,96416,Dequ
44669,0,Recv
44835,95368,Dequ
44836,0,Recv
45002,94320,Dequ
45003,0,Recv
45169,93272,Dequ
45170,0,Recv
45336,92224,Dequ
45337,0,Recv
45503,91176,Dequ
45504,0,Recv
45670,90128,Dequ
45671,0,Recv
45837,89080,Dequ
45838,0,Recv
46004,88032,Dequ
46005,0,Recv
46171,86984,Dequ
46172,0,Recv
46338,85936,Dequ
46339,0,Recv
46505,84888,Dequ
46506,0,Recv
46672,83840,Dequ
46673,0,Recv
46839,82792,Dequ
46840,0,Recv
47006,81744,Dequ
47007,0,Recv
47173,80696,Dequ
47174,0,Recv
47340,79648,Dequ
47341,0,Recv
47507,78600,Dequ
47508,0,Recv
47674,77552,Dequ
47675,0,Recv
47841,76504,Dequ
47842,0,Recv
47919,76504,Enqu
48002,77552,Enqu
48008,77552,Dequ
48009,0,Recv
48085,77552,Enqu
48168,78600,Enqu
48175,78600,Dequ
48176,0,Recv
48251,78600,Enqu
48334,79648,Enqu
48342,79648,Dequ
48343,0,Recv
48417,79648,Enqu
48500,80696,Enqu
48509,80696,Dequ
48510,0,Recv
48583,80696,Enqu
48666,81744,Enqu
48676,81744,Dequ
48677,0,Recv
48749,81744,Enqu
48832,82792,Enqu
48843,82792,Dequ
48844,0,Recv
48915,82792,Enqu
48998,83840,Enqu
49010,83840,Dequ
49011,0,Recv
49081,83840,Enqu
49164,84888,Enqu
49177,84888,Dequ
49178,0,Recv
49247,84888,Enqu
49330,85936,Enqu
49344,85936,Dequ
49345,0,Recv
49413,85936,Enqu
49496,86984,Enqu
49511,86984,Dequ
49512,0,Recv
49579,86984,Enqu
49662,88032,Enqu
49678,88032,Dequ
49679,0,Recv
49745,88032,Enqu
49828,89080,Enqu
49845,89080,Dequ
49846,0,Recv
49911,89080,Enqu
49994,90128,Enqu
50012,90128,Dequ
50013,0,Recv
50077,90128,Enqu
50160,91176,Enqu
50179,91176,Dequ
50180,0,Recv
50243,91176,Enqu
50326,92224,Enqu
50346,92224,Dequ
50347,0,Recv
50409,92224,Enqu
50492,93272,Enqu
50513,93272,Dequ
50514,0,Recv
50575,93272,Enqu
50658,94320,Enqu
50680,94320,Dequ
50681,0,Recv
50741,94320,Enqu
50824,95368,Enqu
50847,95368,Dequ
50848,0,Recv
50907,95368,Enqu
50990,96416,Enqu
51014,96416,Dequ
51015,0,Recv
51073,96416,Enqu
51156,97464,Enqu
51181,97464,Dequ
51182,0,Recv
51239,97464,Enqu
51322,98512,Enqu
51348,98512,Dequ
51349,0,Recv
51405,98512,Enqu
51488,99560,Enqu
51515,99560,Dequ
51516,0,Recv
