# Link Utilization Monitor
# Format: time: <timestamp_ns>
# node_id port_id tx_bytes_total tx_throughput_Gbps tx_util_percent
time: 2000000000
time: 2000100000
1 1 16928184 50.1456 100.00
2 1 16928184 50.1456 100.00
3 1 749460 2.2320 2.23
4 1 749940 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 33817276 100.2912 100.00
9 2 746400 2.2320 4.46
9 3 747420 2.2320 4.46
10 1 1495500 4.4640 4.46
10 2 16889092 50.1456 50.15
10 3 16889092 50.1456 50.15
10 4 0 0.0000 0.00
11 1 749100 2.2320 2.23
11 2 16868872 50.1456 100.00
12 1 748620 2.2320 2.23
12 2 16856740 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002800000
0 1 0 0.0000 0.00
1 1 17555004 50.1456 100.00
2 1 17555004 50.1456 100.00
3 1 777360 2.2320 2.23
4 1 777840 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 35070916 100.2912 100.00
9 2 774300 2.2320 4.46
9 3 775380 2.2368 4.47
10 1 1551300 4.4640 4.46
10 2 17515912 50.1456 50.15
10 3 17515912 50.1456 50.15
10 4 0 0.0000 0.00
11 1 777000 2.2320 2.23
11 2 17495692 50.1456 100.00
12 1 776520 2.2320 2.23
12 2 17484908 50.2534 50.25
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002900000
0 1 0 0.0000 0.00
1 1 18181824 50.1456 100.00
2 1 18181824 50.1456 100.00
3 1 805260 2.2320 2.23
4 1 805800 2.2368 4.47
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 36324556 100.2912 100.00
9 2 802200 2.2320 4.46
9 3 803280 2.2320 4.46
10 1 1607160 4.4688 4.47
10 2 18142732 50.1456 50.15
10 3 18142732 50.1456 50.15
10 4 0 0.0000 0.00
11 1 804960 2.2368 2.24
11 2 18123860 50.2534 100.00
12 1 804420 2.2320 2.23
12 2 18111728 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2003000000
0 1 0 0.0000 0.00
1 1 18808644 50.1456 100.00
2 1 18808644 50.1456 100.00
